material_id,e_electronic,e_ionic,e_total
mp-9813,9.240248719992868,0.023402966667661,9.263651686660532
mp-1018138,4.975588651368049,0.6914785922300211,5.667067243598072
mp-1027525,7.274040016789653,36.70699165666435,43.981031673454005
mp-1027692,8.173882299999999,16.54390516,24.71778746
mp-1115,15.281328273331154,0.717763489996258,15.999091763327414
mp-1170,8.804200280000002,7.196048743170375,16.000249023170376
mp-1186,8.045723849998582,27.85439385285104,35.90011770284961
mp-2076,12.298714216668095,46.030766601504986,58.329480818173096
mp-22877,3.919427456666666,1.257877803332613,5.177305259999279
mp-23205,3.673335443333249,3.043907656656354,6.717243099989605
mp-28013,4.9747716066665895,5.667631159994187,10.642402766660776
mp-28306,3.661245519999975,4.596945958917786,8.25819147891776
mp-30031,3.23708972,2.13245274,5.369542460000001
mp-30033,12.102067610358892,1.632963890022348,13.735031500381242
mp-30034,3.026786326666693,2.888883946666965,5.915670273333659
mp-567259,4.7315415233350215,5.965758559963629,10.69730008329865
mp-570081,5.461957650079668,2.579736512816413,8.04169416289608
mp-570259,2.635111053333377,2.587606309981782,5.2227173633151605
mp-665,14.891819900000003,9.0042721063987,23.896092006398703
mp-762,10.142843836666636,0.7522985566664361,10.895142393333074
mp-971787,4.074911371008222,0.9836229788953652,5.058534349903588
mp-985829,6.805299716666666,19.86576316,26.671062876666657
mp-1540935,6.14810435666701,24.677801073217605,30.825905429884624
mp-22881,3.013766303333335,3.329990803024428,6.343757106357764
mp-23174,4.020659023333335,0.695631630033897,4.716290653367232
mp-23210,2.58521185,2.476172836663808,5.061384686663808
mp-23240,15.65030745016359,1.505395034164831,17.155702484328422
mp-27396,4.277264125240312,1.568176235002694,5.845440360243007
mp-27484,12.479446484001087,19.94832924661265,32.42777573061374
mp-28233,3.177920899998079,4.521476709950163,7.699397609948242
mp-34202,32.60318011666668,57.295914190910445,89.89909430757713
mp-540789,5.348295553370391,11.70336360681645,17.05165916018684
mp-541837,17.336138576820108,40.91492214375841,58.25106072057852
mp-568233,4.396148740000002,5.564268613742744,9.960417353742743
mp-568690,3.537983910000001,3.916436919652261,7.454420829652263
mp-568722,3.520210003333333,3.939177640408095,7.459387643741429
mp-569595,5.192624446659352,11.692437149844098,16.88506159650345
mp-569843,3.899972533333016,4.931906779916922,8.831879313249939
mp-753746,4.240028446666667,3.778282543338736,8.018310990005403
mp-7988,4.608729116679156,7.716827748763605,12.325556865442758
mp-9889,5.356676743330742,2.290538133536253,7.647214876866994
mp-27934,3.536636239999948,3.943638673330595,7.480274913330543
mp-28248,4.5683813166664695,5.671397276665043,10.239778593331517
mp-567503,4.919497623333332,10.989683079981347,15.90918070331468
mp-567542,5.378531209999999,12.311823063356409,17.69035427335641
mp-569994,4.676852413333333,5.989013399996501,10.665865813329832
mp-580941,4.999323609999998,2.120445863334295,7.119769473334294
mp-9984,6.123830453332537,6.352169555955727,12.476000009288263
mp-1023924,4.456999533333333,0.040770383331264,4.497769916664597
mp-1023934,4.960254316666667,0.135591573308994,5.095845889975661
mp-1023935,6.128888906666666,0.483844120109137,6.612733026775803
mp-1023936,4.649557083333334,0.058157703,4.707714786620333
mp-1023937,4.197179743333333,0.009545823335027,4.206725566668362
mp-1572,8.249876723333335,2.054247939848545,10.30412466318188
mp-604884,3.848873150000002,1.243361583341014,5.092234733341016
mp-1634,10.660011845009109,1.072837515472692,11.7328493604818
mp-8976,7.341541026666666,9.533258873333333,16.8747999
mp-1206230,4.868253803333334,6.086084213333334,10.954338016666668
mp-22945,9.856490116666672,3.486008583525201,13.342498700191872
mp-27362,4.635961056666667,1.094974216663995,5.730935273330662
mp-27716,4.9706087,5.780560536701681,10.75116923670168
mp-28580,3.644181206666666,4.219890770000001,7.8640719766666685
mp-29027,5.984509373333335,13.413736893333338,19.39824626666667
mp-5328,5.210466923333334,5.158378700000136,10.36884562333347
mp-559760,4.638513653279748,15.022073477531189,19.66058713081093
mp-675651,4.395569452922173,2.674096210074762,7.069665662996935
mp-753670,4.011956709475702,5.16933927046801,9.18129597994371
mp-8613,5.724175656666667,4.499222926667616,10.223398583334282
mp-1025340,6.208783346666666,0.33227741,6.541060756666667
mp-557373,6.024460190000002,0.324585470000186,6.349045660000186
mp-753195,3.507228103333332,0.888792076666666,4.39602018
mp-1103397,3.008687203333333,33.05851188666666,36.06719908999999
mp-22939,5.660657133333333,43.29358914,48.954246273333325
mp-22987,6.645148556666668,41.993581186666674,48.638729743333336
mp-23023,4.144528613333334,9.941502783333336,14.08603139666667
mp-23046,3.360053713333334,4.372566989999999,7.732620703333334
mp-23072,5.90475669333333,40.86946661,46.77422330333332
mp-23856,2.240601349999999,2.957022023333332,5.197623373333332
mp-24204,4.10064801,3.72452737,7.82517538
mp-24205,3.871731846666666,3.4979830866666672,7.369714933333334
mp-24422,3.451708993333332,3.709901313333332,7.161610306666664
mp-30993,4.468955373333332,8.291092323333332,12.760047696666666
mp-753712,4.303953076666666,8.636409223333331,12.940362299999997
mp-768906,3.964498326666666,12.498085313333336,16.462583640000002
mp-989189,6.686321836666668,5.12417275,11.81049458666667
mp-989196,6.145189353333333,6.125488063333331,12.270677416666665
mp-28038,5.204631836666667,2.296384666666666,7.501016503333335
mp-7461,3.908120450000001,11.550237343333336,15.458357793333334
mp-23798,1.85500607,3.215358646666667,5.070364716666666
mp-23902,2.217774923333333,2.5373855633333333,4.755160486666667
mp-27694,2.167819926666666,2.80748054,4.975300466666666
mp-27741,10.372813063333334,4.88627267,15.259085733333334
mp-28109,4.12268007,4.26195878,8.38463885
mp-29072,15.73002965,1.459464319999999,17.189493969999997
mp-29073,16.670423709999998,1.341706253333333,18.012129963333333
mp-29095,2.208234713333333,2.71680843,4.925043143333334
mp-29234,5.74142999,4.442819753333333,10.184249743333334
mp-29236,5.3173546,4.597894933333333,9.915249533333332
mp-29520,7.192372773333333,5.290189303333334,12.482562076666667
mp-5045,6.144584856666666,8.360267063333332,14.504851919999998
mp-625521,2.6375284233333343,2.201064256666666,4.83859268
mp-753694,2.189168053333333,8.207219960000002,10.396388013333334
mp-541152,2.557697833333333,3.216972913333333,5.7746707466666685
mp-643708,3.341181616666666,7.304665,10.645846616666663
mp-550553,4.500557913333334,10.94325956,15.443817473333334
mp-696949,2.924545799999999,2.663428016666667,5.587973816666668
